,Title,Published_date,Views,Likes,Comments,Month
322,438 Mtr AWM Kill • PUBG AWM Sniping,2019-03-25,61780,5018,468,Mar
323,Solo vs Squads In Apex Legends • RakaZone Gaming Stream Highlights,2019-03-21,8224,684,115,Mar
324,Luckiest Player In PUBG • RakaZone Gaming PUBG Highlights,2019-03-08,46094,2660,76,Mar
325,India vs Australia Intense Last Over Highlights •Ashes Cricket Gameplay,2019-03-02,329361,11554,455,Mar
326,Insane M24 Sniper Kills In PUBG Duos • PUBG India Stream Highlights,2019-02-27,30537,2165,157,Feb
327,Best Wingman Squad Kill • Apex Legends 27 Kills Game,2019-02-21,7115,543,95,Feb
328,PUBG Last Circle Fist Fight • Indian PUBG Stream Highlights,2019-02-16,14753,952,55,Feb
329,PUBG Hacker Caught On Live Stream • Hacker In PUBG,2019-01-30,80986,3925,237,Jan
330,PUBG 11 Kills Solo Win • Indian PUBG Stream Highlights,2019-01-14,15356,1686,144,Jan
331,1v5 Ninja Defuse In CSGO • Indian CSGO Stream Highlights,2018-12-29,24745,1877,116,Dec
332,PUBG New Snow Map Glitch & Best Stream Snipers In PUBG,2018-12-27,18869,1685,148,Dec
333,RakaZone Gaming Trying To Promote Indian Gaming Community By Helping Indian Streamers,2018-12-24,42067,3600,252,Dec
334,What is wrong with PUBG servers ??,2018-12-19,16668,1191,85,Dec
335,Amazing One Taps With Mk14 & Solo Win In PUBG • Indian PUBG Stream Highlights,2018-12-01,19386,1518,124,Dec
336,How To Get Legion Gaming Accessories For Rs 999 With All New Legion Y Gaming Laptops,2018-11-28,11545,772,72,Nov
337,Meet & Greet At Gamer Connect Bangalore 2018,2018-11-27,7423,676,52,Nov
338,Amazing Solo vs Squad Skills In PUBG • Indian PUBG Stream Highlights,2018-11-24,16360,1391,145,Nov
339,How To Download Battlefield 5 & Enable New RTX Technology,2018-11-21,25723,842,105,Nov
340,"PUBG Solo Wins With AWM, M24 & QBZ • Indian PUBG Stream Highlights",2018-11-14,16518,1291,161,Nov
341,Most Brutal Death In PUBG 😱 😱,2018-11-03,12710,1082,97,Nov
342,Can I Replace Forsaken In Optic India For My Noob CSGO Skills ??,2018-10-24,224322,10452,628,Oct
343,Best Sniper In PUBG • VSS Amazing Kills Compilation,2018-10-20,26863,1453,132,Oct
344,Michael Jackson In PUBG ?? • Indian PUBG Funny Moments,2018-10-11,16025,1029,80,Oct
345,Most Perfectly Timed PUBG Moment 2018 • Indian PUBG Funny Moments,2018-10-06,19135,1861,188,Oct
346,Dying Light Bad Blood Blood Battle Royal • Legion Y720 Gameplay,2018-09-22,6770,356,46,Sep
347,How Does This Happen In PUBG ?? • Legion Y720 Gameplay,2018-09-20,24933,1496,237,Sep
348,Why Indians Like PUBG Mobile More Than PUBG PC,2018-08-25,108699,5155,650,Aug
349,When Indians Play PUBG Part 6 • Amazing Kar98 Kills & PUBG Wins on Legion Y720 Gaming Laptop,2018-08-18,59594,3076,204,Aug
350,Hitting Some Amazing Clips In Call of Duty Black Ops 4 Multiplayer,2018-08-15,9894,789,166,Aug
351,How To Bait Enemies In PUBG • Indian PUBG Funny Moments,2018-08-05,23533,1792,182,Aug
352,Amazing Solo Wins In PUBG New Map • When Indians Play PUBG Part 5,2018-07-28,21503,1157,86,Jul
353,"""QBU"" New Gun In PUBG - When Indians Play PUBG Part 4",2018-07-21,30082,1599,80,Jul
354,Why PUBG is Dying,2018-07-15,22788,1342,223,Jul
355,Kicked An Indian Toxic Guy During The Match • Indian CSGO Funny Moments,2018-07-10,58588,3776,138,Jul
356,Why we need Indian PUBG Servers ?,2018-07-08,93718,3157,391,Jul
357,Winning a PUBG Game With 360 Degree AWM Headshot • When Indians Play PUBG Part 3,2018-06-23,58836,2756,222,Jun
358,Winning a PUBG Game With CarryMinati • When Indian Play PUBG Part 2,2018-06-02,287386,11272,419,Jun
359,"When Indian Plays PUBG PART 1 • PUBG Funny Moments, Chicken Dinner, Epic Fails & Pro Plays",2018-05-13,78136,3591,160,May
360,Indian CSGO Funny Moments & Stream Highlights,2018-04-28,26409,1364,54,Apr
361,God Of War 4 Ending Full HD • God Of War 4 Gameplay 2018,2018-04-20,7542,428,67,Apr
362,"""They Talk About My Scout Skills"" • Indian CSGO Stream Highlights & CS Go Plays",2018-03-24,50328,3030,138,Mar
363,"Hitting Crazy 1 Taps "" Get REKT"" • Indian CSGO Stream Highlights & CSGO Funny Moments",2018-03-17,11655,627,56,Mar
364,5 Knife & 5 Zues Kills In One CSGO Match • Indian CSGO Stream Highlights & CSGO Funny Moments,2018-03-02,15102,814,52,Mar
365,"Easiest PUBG Trick, Kar 98 & AWM Kills & Chicken Dinner• Indian PUBG Stream Highlights",2018-02-24,25454,1096,29,Feb
366,Hitting A 360° No Scope • CSGO Knife & Zues Troll • Indian CSGO Funny Moments,2018-02-18,22945,1195,64,Feb
367,"How To Play New Dust 2 In CSGO [Ace, Ninja Defuse] • Indian CSGO Stream Highlights & Funny Moments",2018-02-03,18271,889,65,Feb
368,"Insane 512 Meter Kar98 Shot, 11 Kills Solo Chicken Dinner, Found A Hacker • PUBG Stream Highlights",2018-01-26,77196,3521,130,Jan
369,I Got A New Knife In CSGO • Indian CSGO Funny Moments & Stream Highlights,2018-01-23,33850,1645,87,Jan
370,PUBG Hacker Caught During Live Stream • Hacker In PUBG,2018-01-06,35358,1031,31,Jan
371,"""I am A Ninja"" EZ Ninja Defuse • Indian CSGO Funny Moments & Stream Highlights",2017-12-23,4263,262,33,Dec
372,1v4 Ninja Defuse • Indian CSGO Funny Moments & Stream Highlights,2017-12-14,5379,255,34,Dec
373,I am a Ninja • PUBG Funny Moments & Chicken Dinners,2017-12-09,31722,1420,51,Dec
374,Indian PUBG Funny Moments & Stream Highlights,2017-11-26,61458,2563,88,Nov
375,My First Scout ACE in CSGO • Indian CSGO Stream Highlights,2017-11-19,30753,1124,36,Nov
376,Indian CSGO Funny Moments & CSGO Stream Highlights,2017-10-27,31940,1283,45,Oct
377,Another EZ AWP Ace • Indian CSGO Stream Highlights & Funny Moments,2017-10-08,15642,609,59,Oct
378,My Best AWP Ace In CSGO 2017 • Indian CSGO Stream Highlights,2017-09-04,46274,2158,100,Sep
379,When People Say I'm Boosted in CSGO • Indian CSGO Funny Moments & Stream Highlight,2017-08-20,19860,912,82,Aug
380,Indian CSGO Funny Moments & Stream Highlights • Counter Strike Global Offensive Funny Moments,2017-07-24,26012,1504,72,Jul
381,1v4 Ace Clutch • Indian CSGO Funny Moments & Stream Highlights,2017-06-19,18592,982,51,Jun
382,I Am So Unlucky • CSGO Case Opening,2017-06-15,11842,510,53,Jun
383,SCOUT Is So OverPowered In CSGO • Indian CSGO Funny Moments & Stream Highlights,2017-06-04,55315,2308,171,Jun
384,I did a Ninja Defuse • Indian CS GO Funny Moments & Stream Highlights,2017-05-17,36881,1436,108,May
385,I Got an AWP ACE • CS GO Stream Highlights,2017-05-02,11377,468,51,May
386,Modern Warfare Remastered Stream Highlights • I just Love Sniping,2016-12-23,1136,69,34,Dec
387,Best Stunt Ever In GTA 5 • GTA 5 Funny Moments,2016-11-17,11581,2001,411,Nov
388,Modern Warfare Remastered Sniping Challenge • Sniping With Raka #1,2016-11-15,5474,501,126,Nov
389,Top 10 Ninja Defuse in Call Of Duty Black Ops 3 • Best Ninja Defuses BO3,2016-09-21,814,68,11,Sep
390,Killed Him 6 Times In A Row • Black Ops 3 Sniping,2016-09-18,816,82,15,Sep
391,Call of Duty Black Ops 3 My Best Sniper Montage • Call of Duty Black Ops 3 Multiplayer,2016-03-11,4381,211,12,Mar
392,Call of Duty Black Ops 3 Best Assualt Rifle SHEIVA • COD Black Ops 3 Multiplayer Gameplay,2016-02-29,20920,1295,133,Feb
